aaskestaaghhaq	pos	narrow thing; something that does not extend far	"Aaskestaaghhaanghani kiyang malghugneghet piiqiit, … ‘Whenever it [the sea ice] did not extend far out they always made two [boat paths], …’ (SIVUQ. NANGAGH. 1:134)"
aasliigh-	pos	to patch a skin boat	aasliightuq ‘he patched a boat’; aasliighaa ‘he patched it’ /
aasliq	pos	soup of greens and seal blood	No information given.
Aasliq	pos	former village on east shore of Provideniia Bay; Plover Bay in Chukotka	see Map 2 in Appendices
aasliquutaq	pos	grease stain in the entrance opening of a winter house	Chukotkan (R)
aastu-	pos	to be wide; to extend far	"aastuuq ‘it is wide, extends far; Aastughllagyalghii, kilgaaquteghllagaqelghiit, kiyang whanikumi. ‘It was extended farther, as far as long distance runners were concerned, then than now.’ (SIVUQ. NANGAGH. 1:20); Aamta tuvalgunghani tawaten ataasiinaat kenilghet seggaqiit, qayughllak ilangakun tuvaq aastaaqelghii. ‘And, whenever it had shore ice like that they made but one boat path, because the shore ice extended a long way out.’ (SIVUQ. NANGAGH. 1:134)"
aataararay	pos	yuck!	particle; expression of disgust or fright
aatak	pos	do it anyway; give it a try; let's	"particle; used to boost morale; Seghleghunaqukut, yulgutmun kaatngwaaghluta tusaqunneghitem seghletun pinaqukut, aatak qitevunnaqigu! ‘Things are going poorly for us, and now that we have come across a fellow human, because we can’t understand each other we have a problem; give it a try, speak to him in the other language!’ (SIVUQ. NANGAGH. 2:124); Aatak naghuyaqellaankuk meteghlluglliqellaankuk piiqagka. ‘(I’ll) give at a try,  I am trying to talk to the seagull and the raven.’ (UNGIPAGHAGH. 109)"
aatakqun	pos	do it anyway; give it a try; let's	"particle, used to boost morale; = aataqun"
aataqun	pos	do it anyway; give it a try; let's	particle; used to boost morale;  = aatakqun
aatati	pos	the number ‘one’ (in a counting or finger naming jingle for children)	"cf. ataasiq; the entire jingle is: aatati, pututati, aanqaghreki, tekiina, kumlu, aasi, taawra, qilughru, milughru, qughru 'one, two, three, four, five, six, seven, eight, nine, ten'"
aatawleginaq	pos	for nothing; after all; because	"particle; aatawleginaq mughusimaaq, sakengaghsimangituq ‘he went hunting for nothing, he didn’t get anything’; unangataghalluku tagilghaaten aatawleginaq  neghsaghhnaanghituten, ayveghaghnaanghituten ‘come early in the morning, otherwise you won’t get seals or walrus’"
aate-	pos	to put on (clothes); to dress	aatuq ‘it put something on’; aataa ‘he put it on’ / aalluku ‘after putting it on’; aalleqaa ‘he will put it on’; aannaqaa ‘he is going to put it on’; aatkaagaa or aaskaagaa ‘he has put it on’; aasuwaaghaa ‘he feels like wearing it’; 
aateghngalghii	pos	loaded; put on	Chukotkan (R); questioned
aatghute-	pos	to go out hunting on foot on the ice	sikuk kaanneghegkeni yuget aatghutaqelghiit ‘men go out hunting (on foot) once the ocean ice arrives’
aatkaq	pos	article of clothing; garment	No information given.
aatneq	pos	slope near the beach; small portion of land extending out into the water	No information given.
aatqaghtagh-	pos	to suddenly and quickly go out (as from room)	No information given.
aatqaghte-	pos	to slip or jerk when working with something by hand; to run off the road; to deviate from the desired path	aatqaghtuq ‘he or it jerked’; aatqaghtaa ‘he jerked it’/ tumeneng aatqaghtuq ‘he ran off the road’; terelleghmeng piineqegkani aatqaghtaa ‘he painted off the marked line’
aatwarae	pos	hot water	#NAME?
aavgaghte-	pos	to split open suddenly; to get injured severely on the surface of one’s body	No information given.
aavgugh-	pos	to cut up thoroughly	No information given.
aavneq	pos	half; half dollar	No information given.
aavnguq	pos	burl	No information given.
aavngutae	pos	sealskin pants	"used in the dual, aavngutek for one pair of pants"
aaw-	pos	to bleed; to menstruate	see also aakw ‘blood’
aawaallu	pos	so soon!; already	particle; = aawallu
aawallu	pos	so soon!; already	particle; = aawaallu
aawhkagh-	pos	for spring to come	aawhkaghtuq or aawhkaghaa ‘spring has come’ / cf. awa(ni)
aawhkaghhaaneng	pos	for ages (in the past); for quite a while now	particle
aawhkaghniimna	pos	previous place; former one	Chukotkan (R)
aawhkaghniq*	pos	hing of a while ago	#NAME?
aawhkaghtaq	pos	thing of a while ago	= aawhkaghniq*
aawhkan	pos	a while ago (during the same season); a week ago; a month ago	particle
aawhkaqun	pos	in the springtime	particle
aawhkayaghaq	pos	some time ago; a while back	particle
aawhtaq	pos	jade	No information given.
aawhtu-	pos	to be bloody	aawhtuuq ‘it is bloody’ / aawhtuqaq ‘a bloody thing’
aawhtuqe-	pos	to bleed	aawhtuquq ‘it is bleeding’ /
aawiite-	pos	to lose blood	No information given.
aawite-	pos	to be bloodless	aawituq ‘it is bloodless ‘; cf. aangwunani ‘being without blood’ (irregular variant of aawinaan or aawunaan)
aawyaq	pos	blood clot	No information given.
aaygu	pos	arrow	No information given.
aayguk	pos	"pair of stars seen at dawn, Altair and Tarared in the constellation of the Eagle"	No information given.
aayiiq tanem	pos	preliminary incantation; call to a certain spirit	"Chukotkan (R); literally, ‘aayiiq, once again’ (aayiiq is a name of a certain spirit, a tughneghaq)"
aaykagh-	pos	to gamble	aaykaghtuq ‘he is gambling’; y preceding k questioned
aaykaq	pos	poker or similar card game; gambling	y preceding k is unusual
afkuyaq	pos	cause of something (especially a problem)	"ullghitagma afkuyaa naalkaghtaqa ‘I found the cause of the problem with my wheeled/tracked vehicle’; Naghullgaqluki, pakin'gumakanga nagun iqelqwakun itegaakun, taawa taana tuqusiqaa, pakinellgha qazigyaghaam. Aatgha Anaqsi, Sikneghnii. Afkuyaghhaan. ‘While he was harpooning them, it scratched him somewhere on his little toe, and that’s what killed him, the scratch of a seal. … That was all it took.’ (SIVUQ. NANGAGH. 3:22)"
aflaaghaghte-	pos	to interrupt	No information given.
aflaaq	pos	thing between two others; middle one	No information given.
aflenga-	pos	to be thrifty; to take good care of one’s things	"aflengaaq ‘he is thrifty’, ‘he takes care of his things’ /"
aflengake-	pos	to take care of (valued possession or person); to keep	aflengakaa ‘he is taking care of it’ / Qikmiqa ataasiq tuunluku maalghuk aflengakagka.’ I gave away one of my dogs and kept two.’ (SLI JR. DICT. 8)
aflenganeq	pos	thrifty person; one who takes good care of what he has	aflenganghuuq ‘he’s a person who takes good care of what he has’
aflu	pos	the span from one thing to another (as from one hour to the next); thing between two others (as a child born between two others)	Estamat aflut piyugutkanka. ‘I walked for four hours.’ (SLI JR. DICT. 132)
aflute-	pos	to feel sorry for; to sympathize with	Chukotkan (R)
afsengaghpak	pos	muskrat (Ondata zibethicus); beaver (Castor canadensis)	Chukotkan
afsengaghqe-	pos	for there to be the squeaking sound of a mouse	"afsengaghquq ‘there’s a squeaking, mouse sound’"
afsengaq*	pos	vole (Microtus sp. ); locally mouse; also slang for lump of dried nasal mucus	No information given.
afta-	pos	to cut up game; to butcher game; to have surgery (additional Chukotkan meaning)	aftaaq ‘he butchered an animal’; aftaa ‘he butchered it’ /
afte-	pos	No information given.	"root; > afta-, aafte-; cf. avek"
aga	pos	away; gone; there	"particle; this is the interjectional form of the demo. adverb aga(ni) from demo. pronoun aagna(q.v.); Amaaghllak aga estunaquq. ‘There he goes, the wolf is about to slide.’  (AYUM. UNGIP. I:7)"
agaavik	pos	double hook used to fasten caught walrus to side of boat	Chukotkan (R)
agagh-	pos	hanging	"postural root; agaghtuq ‘it got hung, snagged’; agaghtaa ‘he hung it up’; agaghngaaq ‘it is hanging’; agaghfik ‘place to hang things’"
agaghfikutaq	pos	clothes hanger; clothespin; peg for hanging things; hook for hanging things	No information given.
agaghtiiraagh-	pos	to hang; to be hanging	Chukotkan (R)
agaghtusiq	pos	clothes hanger; clothespin; peg for hanging things; hook for hanging things	No information given.
agaghugllaka	pos	"oh, what a pity!"	particle
agalghu-	pos	to stagger	agalghuuq ‘he staggered’ / agalghwaaghtuq ‘he keeps staggering as he walks’
agalqutaq	pos	peg for hanging things; hook for hanging things	No information given.
agam	pos	"okay, that’s enough"	Chukotkan (R); particle
agangsitagh-	pos	to stay away	"agangsitaghtuq ‘he, or it, it staying away’ / kayut saamkut agangsitaghtat nalleq? ‘why are the fish down there staying away?’"
agaqraq	pos	peg for hanging things; hook for hanging things	No information given.
agaten	pos	must be the case; unenthusiastic	"particle (perhaps two different particles);  agaten aghuliighaqluni igleghtaquq ‘he must be stopping once in a while as he travels’; qeghalguteyeng ataasiq agaten ayuqaqaa ‘they aren’t very enthusiastic about one of their fellow workers’; Ataasit agaten amaallgaat esghaqaghaqanka, pamakaghtat. ‘I’d see an occasional wolfskin [ruff] which must have come from Siberia.’ (SIVUQ. NANGAGH. 1:114)"
agatu	pos	type of kelp (Agarum cribrosum)	No information given.
agenriqe-	pos	to think carefully about something	agenriquq ‘he thought carefully’; agenriqaqulluku pegnem ayveq qaakaghput ‘after we thought carefully about it we finally pulled the walrus out’
agepsugh- 	pos	to be smoky	agepsughtuq ‘it is smoky’ / agepsughtaa ‘it is getting smoky’
agepsuq	pos	smoke; steam	agepsughtuuq ‘there's a lot of smoke’; agepsughtaaghtuq ‘it has smoke coming out of it’
agesngughte-	pos	to kill instantly (especally by hitting on bridge of nose); to knock out (?)	agesngughtaa ‘he killed it instantly’/ ayveq agesngughlluku tuqutaa ‘he killed the walrus instantly (by hitting it on the bridge of the nose)’
agesta	pos	sh-sh; hush!	Chukotkan (R); particle
agghi	pos	conference	No information given.
agghi-	pos	to confer; to decide	"agghiiq ‘he decided’/ agghiit ‘they are conferring, deciding on something’; agghitkaa ‘he decided concerning it, figured it out’; agghiiq igleghhnaluni ‘he decided to go’"
agghista	pos	commander	No information given.
agghiyugniqe-	pos	to be spoiled; to be obstinate	cf. agghi; mekelghiighhaq agghiyugniquq ghhuuteghngaatni wata an’gighnaluni ‘the little boy tried to have his way and stay outdoors even though it was cold’
agha	pos	amulet; medicine; aspirin	No information given.
aghaligh-	pos	to treat with medicine; to medicate; to put on an amulet	aghalightuq ‘he took medicine or put on an amulet’; aghalighaa ‘he gave her medicine or put an amulet on her’/
aghallegtaq	pos	doctor	No information given.
aghanghuuraq	pos	amulet attached on to belt or clothing;  medicinal plant sewn on to animal skin and attached to one’s belt	Chukotkan (R)
aghavaghllak	pos	clear weather	No information given.
aghavraq	pos	Alaska poppy (Papaver alaskanum)	No information given.
aghelqute-	pos	to move a little (of something heavy and/or tight); to budge	"aghelqutuq ‘it moved a little, it budged’; aghelqutaa ‘he moved it a little, he budged it’/"
aghenqigneq	pos	right-hand side	aghenqigneghmun ‘to the right’
aghevestaaghaq*	pos	soft thing; person who is weak-willed and easily influenced	qenu meghmelnguq aghevestaaghhaaguq ‘the new ice in the ocean is soft’
